X, sigma
3.876,.28086957
1.053,.22941176
3.292,.12909804
.6840000000000001,.13930754
1.666,.2
.773,.20130208
.806,.21044386
2.714,.26096154
1.039,.23037694
2.648,.26533066
2.736,.27142857
.004,.00083857
.007,.004
.006,.006
2.33,1
.005,.006
.005,.006
.006,.006
1.803,.197
2.915,.435
.164,.024
2.45,.374
2.279,.229
.209,.087
.169,.023
.172,.028
.146,.033
.167,.025
1.688,.142
1.58,.159
.161,.036
.17,.023
1.736,.332
.194,.058
.162,.029
1.961,.182
1.909,.184
.163,.023
.155,.024
2.067,.375
2.041,.189
2.53,.271
2.774,.4
.188,.055
1.995,.265
2.184,.2149
.183,.095
1.912,.179
.229,.037
.153,.093
.176,.033
2.666,.413
.306,.149
.155,.023
2.188,.215
.074,.062
.093,.051
2.608,.263
2.145,.251
.152,.043
2.446,.252
.153,.033
.106,.026
1.255,.117
1.727,.183
.161,.033
.168,.022
3.155,.315
2.394,.317
2.307,.235
.308,.595
2.277,1.082
7.955,8.946999999999999
4.089,2.312
1.336,.522
.914,1.584
1.966,.952
2.245,1.02
1.497,.572
1.751,.8100000000000001
1.579,.87
.669,.507
.533,.222
.52,.231
.712,.916
2.939,3.105
.174,.889
4.001,2.021
6.45,3.024
2.768,3.717
10.975,3.431
3.437,1.871
1.3,1.419
.962,1.642
6.907,3.258
4.57,2.372
.0617,.1526
.2351,.1675
.0579,.1606
.2163,.3705
.8294,.4863
.3949,.3542
.2032,.164
.8247,.4211
.3233,.2373
.0515,.1364
.0426,.1362
.3169,.2346
17.2,9.1450757
137,55.27922
.325,.178
.366,.168
.233,.084
.096,.07
.244,.183
.062,.014
.058,.032
1.502,.654
.369,.163
.366,.168
.227,.126
.484,.226
.485,.279
.338,.181
.366,.178
.361,.16
.336,.144
.395,.219
.132,.084
.065,.055
.001,.004
.008,.014
.164,.049
.006,.021
.161,.134
.162,.052
.195,.046
.111,.105
.146,.072
.001,.002
.04,.011
.085,.036
.106,.037
.008,.007
.024,.011
.11,.02
.182,.048
.111,.037
.195,.046
.062,.055
.132,.033
.042,.028
.098,.041
.084,.022
.093,.039
.082,.059
.028,.094
.077,.039
.065,.038
.068,.047
.195,.046
.031,.041
.177,.053
.082,.056
.5,.04
2.54,.2
2.65,.22
.6,.05
1.06,.42
1.98,.37
2.322,1.014
2.378,.523
1.892,.541
1.711,.166
.517,.16
.343,.09
.451,.094
.576,.083
.314,.145
1.037,.241
.359,.239
.008,.274
.453,.132
.395,.153
.399,.108
.015,.173
.972,.099
.351,.03
.6840000000000001,.084
.423,.048
.715,.089
.538,.107
.305,.059
.899,.094
.52,.098
.512,.047
.518,.061
.328,.06
.337,.111
.497,.063
.103,.113
.373,.062
.886,.185
.55,.103
.459,.087
.74,.155
.701,.096
.318,.057
.766,.145
.58,.063
.07,.05
.14,.17
.49,.09
.47,.07
.11,.15
.5,.11
.45,.07
.15,.09
1.24,.17
1.18,.2
1.14,.15
1.06,.17
1.15,.21
1.23,.14
1.47,.23
1.62,.23
1.61,.22
1.42,.22
1.45,.23
1.25,.23
4.43,.52
4.25,.49
3.55,.32
3.55,.38
4.14,.38
4.39,.36
7.93,1.83
1.19,.31
5.54,2.74
9.26,2.11
1.32,.51
.78,.35
.72,.29
.65,.39
10.11,3.53
5.93,2
1.04,.28
6.35,2.3
.18,.07
1.16,.47
.17,.07
1.02,.45
.16,.07
.024,.015
.21,.07
.23,.07
1.61,.51
.16,.07
.082,.043
1.11,.46
1.74,.51
1.38,.51
7.77,3.52
2.49,.89
2.01,1.09
8.48,4.09
1.43,.9399999999999999
1.7,1.06
8.44,3.6
2.59,.97
1.87,1.16
9.93,4
2.1,.84
2.14,1.06
2.22,1.2
9.68,4.46
2.39,1
1.97,1.17
1.87,.98
8.51,3.88
.4537,.1496
.0006,.0035
.1215,.0357
.747,.169
.55,.267
.645,.133
.632,.248
.582,.247
.544,.177
.632,.225
.503,.208
.429,.233
.405,.217
.664,.25
.031,.122
.061,.122
.118,.115
.117,.149
.032,.119
.036,.123
.44,.377
.44,.202
.204,.402
.482,.248
.705,.194
1.029,.306
1.098,.145
.527,.265
.274,.104
1.028,.346
.577,.471
.384,.184
.5590000000000001,.277
1.465,.229
.642,.333
.535,.176
2.03,.204
2.94,.479
.953,1.72
.507,.176
2.24,.11
4.74,.843
1.1338,.185
.5600000000000001,.263
2.04,.723
.983,.303
.52,.01
1.02,.31
.971,.316
.059,.008
.953,.305
3.04,.661
.405,.113
.774,.705
.401,.096
.492,.379
.215,.115
.189,.029
6.56,1.55
4.04,1.23
1.029,.306
.004,.012
1.49,.575
.004,.009
1.57,.547
.066,.046
1.361,.188
1.47,.62
.396,.186
1.54,.285
.409,.204
.0036,.005
.124,.023
.163,.064
.009,.004
1.465,.229
2.92,.097
1.394,.19
.592,.376
.897,.237
.346,.098
.678,.375
.036,.006
.598,.263
.157,.03
.44,.377
.527,.265
1.11,.162
.384,.184
1.62,.181
.007,.006
.2974,.5570000000000001
1.34,.4
2.01,.541
.06,.012
3.33,.115
.549,.266
.07,.28
.08,.19
.14,.24
.44,.25
.23,.17
.016,.007
.06,.25
1.08,.37
.38,.2
.013,.007
.43,.27
.32,.17
.22,.2
.14,.24
.92,.5
1.33,.5
.26,.26
.18,.24
.67,.31
.82,.36
.37,.31
1.24,.4
.017,.007
.191,.072
.78,.27
3.42,.71
.09,.05
.03,.09
.338,.218
2.69,1.26
3.56,.67
.33,.63
.024,.027
.016,.028
.13,.04
.018,.007
.066,.013
.031,.005
.015,.007
.37,.24
.22,.06
3.91,.72
2.7,1.38
2.75,.62
1.7,.51
1.06,.33
.53,.27
3.02,.522
1.2,.46
.09,.34
1.62,.72
3.41,.76
2.56,.54
1.24,.3
.21,.47
.48,.37
.007,.005
.03,.28
.89,.39
.009,.005
4.46,1.46
3.87,.79
.06,.29
1.23,.35
2.51,1.36
.97,.39
.79,.32
.28,.25
.831,.258
.829,.279
.023,.012
.74,.76
114.08,215.91
41.65,41.32
.962,.266
.79,4.41
.133,.064
.362,.137
.245,.155
.93,.28
.916,.281
.775,.244
4.93,9.289999999999999
23.05,33.81
46,146
.878,.251
1.48,.61
.335,.125
1.17,.6899999999999999
.352,.119
.517,.325
.45,.144
.52,5.11
.455,.115
.4,.55
.245,.124
.2,.91
.293,.129
.82,.79
.783,.241
.019,.014
.54,.41
5.5,2.75
3.33,7.2
.904,.241
1.44,1.26
.1,.49
.608,.232
.203,.056
.455,.156
.19,1.21
.967,.311
.67,4.11
.854,.252
.0311,.001
.1205,.047
.0005,.0004
.003,.097
.216,.059
.4121,.053
.592,.373
.46,.13
.095,.027
.111,.038
.206,.061
.0804,.038
.095,.086
.0399,.3038
.058,.018
.298,.246
.1213,.051
.092,.226
.026,.018
.071,.037
1.346,.956
.0129,.038
.126,.047
.1316,.039
.194,.064
.291,.207
.536,.153
.133,.042
.095,.028
.2589,.044
.2062,.042
1.486,1.007
.497,.15
.452,.175
.0962,.049
1.208,.293
.053,.034
.16,.051
.403,.14
.0009,.037
1.284,.95
.291,.206
.344,.075
.49,.497
.292,.086
.237,.074
.265,.09
.365,.085
.951,.285
.158,.043
11.96,4.59
7.47,2.08
11.26,2.49
7.78,2.11
11.3,4.58
11.11,2.53
7.19,2.31
3.85,1.87
7.64,2.28
9.15,4.23
4.21,1.92
8.880000000000001,4.18
.12,.039
.121,.041
.393,.096
.023,.006
.168,.105
.219,.059
.038,.018
.216,.052
.226,.06
.077,.03
.07,.032
.211,.051
.179,.106
.027,.007
.119,.072
.032,.015
.185,.112
.243,.061
.034,.021
.028,.007
.095,.042
.208,.053
.193,.059
.163,.099
.003,.028
3.03,.55
.96,.18
.17,.21
.75,.23
2.55,.47
1.24,.43
.11,.25
1.24,.43
.99,.39
.91,.49
1.05,.38
.88,.5
.62,.4
.55,.47
.79,.32
.67,.43
.64,.36
.71,.38
.4,.5600000000000001
.66,.35
.39,.46
.79,.32
.72,.35
.63,.37
.119,.031
.085,.021
.075,.058
.097,.023
.087,.021
.118,.031
.142,.032
.067,.043
1.22,2.84
10,3.44
8.869999999999999,3.56
8.59,2.68
2.91,4.21
7.14,3.4
1.65,4.83
8.210000000000001,5.58
8.779999999999999,3.38
1.81,3.11
5.95,3.09
7.37,4.36
.006,.0061
.0056,.0058
.0259,.0114
.0065,.0061
.0263,.0115
.0293,.0127
.36,.168
.699,.131
.293,.069
.16,.079
.382,.098
.713,.134
.195,.108
.746,.14
.165,.107
.001,.001
.405,.032
.002,.001
.001,.001
.479,.041
.323,.031
.252,.038
.079,.209
.208,.234
.07,.074
.166,.118
.174,.098
.459,.176
.321,.1
.889,.364
.339,.301
.493,.128
.592,.169
.804,.26
.052,.164
.514,.13
.583,.147
.289,.128
.403,.192
.208,.248
.605,.184
.572,.125
.614,.25
.113,.103
.189,.09
.195,.077
.167,.068
.339,.128
.181,.188
.222,.144
.152,.109
.336,.106
.292,.151
.361,.143
.742,.198
.521,.177
.104,.136
.367,.115
.143,.12
.012,.115
.103,.085
.572,.262
24.016,3.836
19.969,2.417
28.019,3.051
20.485,2.672
7.066,1.621
14.989,3.02
5.24,1.059
23.439,4.701
14.971,2.873
.3,.01
.01,.00049
.01,.00049
.33,.01
.1,.01
.07,.01
.0047,.0039
.011,.0048
.083,.05
.049,.024
.2,.03
.19,.07
.19,.07
.2,.07
.21,.03
.2,.03
1.14,.2
1.19,.19
.47,.07
.44,.07
1.14,.2
.44,.07
1.1,.13
1.1,.13
.15,.12
1.13,.13
