X, sigma
1,.17507003
1,.21213407
1,.6377551
1,.22426553
1,.54466231
1,.10249052
1,.12468828
1,.08438819
1,.2543882
1,.18027763
1,.2119093
1,.7598784200000001
1,1.0893246
1,.56721497
1,.28538813
1,.49776008
1,.18063584
1,.12459507
1,.1325381
1,.11462632
1,.28216704
.837,.381
.828,.397
.868,.405
.916,.438
.0184,.0037
.0181,.0052
.049,.043
.098,.041
.001,.04
.09,.056
.158,.055
.002,.041
.063,.044
.1,.044
.049,.043
.853,.434
.095,.844
.851,.424
.081,.043
.085,.041
.082,.838
.088,.011
.036,.005
.016,.008
.0139,.025
.014,.014
.001,.008
.039,.005
.006,.006
.192,.019
.098,.058
.158,.033
0,.002
.013,.02
.151,.018
30.588,13.07
.186,.08
.423,.152
.888,.322
.132,.0837
.694,.244
.798,.32
.219,.0778
.143,.0598
.218,.247
.475,.185
.729,.244
.102,.0217484
.438,.142
.583,.216
.439,.14
.446,.136
.041,.02204301
.364,.111
.391,.169
.964,.262
.735,.241
3.769,.966
6.199,1.931
3.166,1.102
.328,.13
4.94,1.201
8.83,2.34
.494,.135
.555,.215
.768,.34
4.144,1.924
.0653,.0282
.1617,.1064
.0591,.0269
.197,.464
.0476,.02
.1304,.0886
.253,.0914
1.015,.594
2.885,2.284
2.0579,.6347
.364,.111
.185,.0886
.0108,.0121
.00897,.00637
.0539,.0168
.0695,.037
.0261,.0219
.0307,.0152
.114,.0562
.0223,.0121
.101,.0387
.00181,.0115
.141,.0604
.0447,.0146
.14,.0775
13.97,8.91
.054,.038
.218,.0911
9.289999999999999,1.37
.408,.168
.14,.0618
17.6,5.34
5.19,3.7
6.44,1.89
.265,.135
.04,.039
.023,.038
.246,.05
.182,.046
.641,.226
.283,.161
.519,.179
.304,.186
.074,.124
.621,.383
.007,.008
.005,.008
.576,.364
.052,.273
.198,.236
1.04,.525
.595,.356
1.751,1.005
.345,.164
.8070000000000001,.489
.288,.262
.261,.167
1.151,.837
.209,.173
.171,.084
.107,.155
.478,.491
.251,.123
.07,.033
3.42,1.27
3.09,1.77
3.05,2.09
.078,.029
2.79,1.84
40.12,29.22
23.76,12.19
28.27,14.09
3.77,2.44
10,2.88
36.54,17.62
.065,.029
.179,.256
39.65,19.51
.163,.082
5.366,1.125
3.94,1.92
1.96,.97
3.819,1.477
.143,.073
2.614,1.014
.05,.043
.079,.041
.018,.9
4.203,.729
2.773,1.058
.098,.099
.036,.03
3.95,1.81
.046,.039
.152,.078
.013,.008
.112,.055
.054,.025
.127,.067
.043,.038
.021,.01
.058,.025
.059,.022
.047,.031
5.692,1.197
.115,.053
.095,.046
3.359,1.296
.046,.032
5.131,.9
.195,.097
.028,.07
.087,.035
1.73,.74
.073,.098
.063,.024
4.05,1.74
5.554,2.227
.102,.044
3.916,.671
50.01,15.26
48.87,30.05
.057,.02
44.89,17.42
.09,.043
.039,.072
.082,.045
.019,.011
.016,.009
